ID,State,Income,Kids,Teens,Age,Divorced,Married,Single,Together,Widow,Basic,Graduate,Master,PhD,Recency,Wines,Fruits,Meats,Seafood,Sweets,Premium,Regular,Deals,Website,Catalog,Store,Visits,MC3,MC4,MC5,MC1,MC2,Complaint,Pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2873,State-California,213734,0,0,75,0,0,1,0,0,0,0,0,1,9,11,4,6,2,492,6,509,0,27,0,0,1,0,0,0,0,0,0,0,,,Income,Kids,Teens,Age,Divorced,Married,Single,Together,Widow,Basic,Graduate,Master,PhD,Recency,Wines,Fruits,Meats,Seafood,Sweets,Premium,Regular,Deals,Website,Catalog,Store,Visits,MC3,MC4,MC5,MC1,MC2,Complaint,Pilot
1629,State-Texas,205471,0,0,50,0,0,0,1,0,0,1,0,0,36,1966,353,203,394,41,403,2552,0,9,8,13,3,0,0,1,1,0,0,1,,Income,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239,State-Texas,202692,0,0,46,1,0,0,0,0,0,1,0,0,5,332,292,876,63,339,292,1611,1,6,9,13,2,0,1,1,1,1,0,1,,Kids,-0.537793696,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,State-Texas,202160,0,0,43,0,0,0,1,0,0,0,0,1,54,1510,57,273,150,348,115,2224,0,7,9,10,4,0,1,1,1,0,0,1,,Teens,0.044091693,-0.038860697,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,State-Florida,201970,0,0,37,0,0,1,0,0,0,1,0,0,69,1430,53,202,87,143,333,1583,0,6,8,13,2,0,1,1,1,0,0,1,,Age,0.19939557,-0.226814702,0.347214962,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633,State-Illinois,198777,0,0,60,0,0,1,0,0,0,0,1,0,23,2012,38,1431,252,231,76,3888,0,4,6,9,1,0,1,0,0,0,0,0,,Divorced,0.016627994,-0.01815561,0.05725654,0.063612323,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2094,State-Florida,198777,0,0,60,0,0,1,0,0,0,0,1,0,23,2012,38,1431,252,231,76,3888,0,4,6,9,1,0,1,0,0,0,0,0,,Married,-0.01051446,0.0227738,0.008031096,-0.040714387,-0.270660906,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2987,State-California,196876,0,0,43,0,0,0,1,0,0,1,0,0,79,1845,87,1494,81,394,43,3859,1,7,7,9,2,0,1,1,1,0,0,1,,Single,-0.012697599,0.011061508,-0.102795904,-0.120077581,-0.178859327,-0.417723186,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2933,State-California,196843,0,0,30,0,0,1,0,0,0,1,0,0,60,911,144,1933,81,35,35,3069,1,6,11,10,2,0,0,1,0,0,0,1,,Together,-0.005375961,0.007120085,0.027886166,0.047026724,-0.200765347,-0.468884357,-0.309850217,1,,,,,,,,,,,,,,,,,,,,,,,,,
2970,State-Florida,196547,0,0,40,0,1,0,0,0,0,0,0,0,4,912,43,254,106,206,126,1394,0,7,6,8,2,1,0,1,1,0,0,1,,Widow,0.041823184,-0.072495509,0.04792975,0.160561689,-0.064319585,-0.150217395,-0.099267317,-0.111425207,1,,,,,,,,,,,,,,,,,,,,,,,,
1895,State-California,195529,0,0,26,0,0,1,0,0,0,1,0,0,29,1576,59,1822,512,55,49,3975,1,7,3,7,3,0,0,1,0,0,0,1,,Basic,-0.241468087,0.052152913,-0.119046433,-0.10688336,-0.043718619,-0.003203247,0.039802658,0.002188178,-0.013419396,1,,,,,,,,,,,,,,,,,,,,,,,
1982,State-New York,195169,0,0,33,0,0,1,0,0,0,0,0,1,1,2635,43,921,217,41,41,3816,1,4,3,4,1,0,0,1,1,0,0,1,,Graduate,0.017662812,-0.001579767,-0.023509103,-0.057927694,0.003264657,-0.004149851,0.018901581,-0.008258449,-0.017230962,-0.158867462,1,,,,,,,,,,,,,,,,,,,,,,
2449,State-Illinois,194871,0,2,51,0,1,0,0,0,0,0,0,1,99,347,49,1136,386,0,296,1623,1,8,5,4,7,0,1,1,0,0,0,1,,Master,0.018803012,0.009267814,0.024724229,0.065377652,-0.003627968,-0.008429309,-0.005806272,0.021784927,-0.010571894,-0.069896322,-0.450874505,1,,,,,,,,,,,,,,,,,,,,,
2957,State-California,194642,0,0,69,0,1,0,0,0,0,1,0,0,35,1808,294,1639,218,294,294,3959,0,5,7,9,1,0,0,1,1,0,0,0,,PhD,0.095548035,-0.039458896,0.088880809,0.117766417,0.010034056,0.007748532,-0.012169662,-0.023503692,0.046371545,-0.082121607,-0.529735154,-0.233065589,1,,,,,,,,,,,,,,,,,,,,
2968,State-Other,194472,0,1,62,0,0,1,0,0,0,1,0,0,75,2094,68,858,222,206,33,3415,1,5,5,5,5,0,1,1,0,0,0,0,,Recency,0.006563353,-0.033532705,0.000154671,-0.001326337,-0.006119774,-0.055544191,0.006765656,0.045106671,0.035092512,0.033629481,-0.009223601,-0.030344468,0.021896063,1,,,,,,,,,,,,,,,,,,,
1924,State-Other,194384,0,0,67,0,0,0,1,0,0,1,0,0,62,2288,49,1627,330,93,354,4033,0,5,8,5,2,0,1,1,1,0,0,1,,Wines,0.677808517,-0.378639133,0.037080728,0.138172781,0.011818911,0.005498982,-0.048199155,0.025838552,0.01236216,-0.137258375,-0.020895369,0.027358112,0.098364201,0.0172592,1,,,,,,,,,,,,,,,,,,
2281,State-Illinois,194384,0,0,67,0,0,0,1,0,0,1,0,0,62,2288,49,1627,330,93,354,4033,0,5,8,5,2,0,1,1,1,0,0,1,,Fruits,0.426739001,-0.264808527,-0.049801099,0.039198784,0.051206742,-0.027722508,-0.027405526,0.014857882,0.01461147,-0.054969943,0.055078513,0.001838079,-0.038915931,-0.005139966,0.288049659,1,,,,,,,,,,,,,,,,,
2434,State-Other,193790,0,0,50,0,0,1,0,0,0,1,0,0,16,2690,141,1510,184,236,93,4668,0,6,7,12,2,0,1,1,1,0,0,1,,Meats,0.160988152,-0.100366937,-0.071380775,-0.009974235,-0.01234898,0.019044913,-0.007575798,-0.00870882,0.007782973,-0.033693409,-0.005749523,-0.007464876,-0.010106825,0.004624578,0.145749485,0.151268148,1,,,,,,,,,,,,,,,,
1807,State-Illinois,193404,1,2,66,0,1,0,0,0,0,1,0,0,97,2648,31,594,41,0,31,3284,3,3,4,7,5,0,1,1,0,0,0,0,,Seafood,0.444592678,-0.277564246,-0.07200644,0.055902585,0.011967112,-0.021877977,-0.016658224,0.011656355,0.048047711,-0.053563676,0.073666074,-0.000875382,-0.062788005,0.002473639,0.296972891,0.562833507,0.157999093,1,,,,,,,,,,,,,,,
1408,State-Other,193027,0,0,79,0,1,0,0,0,0,0,0,1,77,2666,87,1486,114,0,44,4310,0,7,10,5,2,0,0,1,0,0,0,0,,Sweets,0.447007815,-0.267009399,-0.084953326,0.041930328,0.040384291,-0.007135412,-0.003826808,-0.026333801,0.02331953,-0.055513835,0.063580455,-0.003560402,-0.063114296,0.034268947,0.292644831,0.531976162,0.149173595,0.560229131,1,,,,,,,,,,,,,,
